2017-09-14 02:07:57 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/mytickets]}" onto public java.lang.String org.tsys.sbb.controller.TicketController.allTicket(org.springframework.ui.Model)
2017-09-14 02:07:57 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/annulticket/{id}]}" onto public java.lang.String org.tsys.sbb.controller.TicketController.annulTicket(int,javax.servlet.http.HttpSession)
2017-09-14 02:07:57 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/tickets],methods=[GET],produces=[application/json]}" onto public java.util.List<org.tsys.sbb.dto.TicketDto> org.tsys.sbb.controller.TicketController.getTickets()
2017-09-14 02:07:57 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/info]}" onto public java.lang.String org.tsys.sbb.controller.UserController.userInfo(org.springframework.ui.Model)
2017-09-14 02:07:57 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/admin/remove/{id}]}" onto public java.lang.String org.tsys.sbb.controller.UserController.deleteUser(int,javax.servlet.http.HttpSession)
2017-09-14 02:07:57 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/admin/setadmin/{id}]}" onto public java.lang.String org.tsys.sbb.controller.UserController.setAdmin(int,javax.servlet.http.HttpSession)
2017-09-14 02:07:57 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/admin/users]}" onto public java.lang.String org.tsys.sbb.controller.UserController.getAllUsers(org.springframework.ui.Model)
2017-09-14 02:07:57 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/admin/setuser/{id}]}" onto public java.lang.String org.tsys.sbb.controller.UserController.setUser(int,javax.servlet.http.HttpSession)
2017-09-14 02:07:57 INFO  RequestMappingHandlerMapping:534 - Mapped "{[/admin/userdata/{id}]}" onto public java.lang.String org.tsys.sbb.controller.UserController.userData(int,org.springframework.ui.Model,javax.servlet.http.HttpSession)
2017-09-14 02:07:58 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Thu Sep 14 02:07:54 MSK 2017]; root of context hierarchy
2017-09-14 02:07:58 INFO  RequestMappingHandlerAdapter:532 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'mvc-dispatcher-servlet': startup date [Thu Sep 14 02:07:54 MSK 2017]; root of context hierarchy
2017-09-14 02:07:58 INFO  SimpleUrlHandlerMapping:328 - Root mapping to handler of type [class org.springframework.web.servlet.mvc.ParameterizableViewController]
2017-09-14 02:07:58 INFO  DefaultSecurityFilterChain:43 - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6e22defa, org.springframework.security.web.context.SecurityContextPersistenceFilter@61609305, org.springframework.security.web.header.HeaderWriterFilter@b2e22b1, org.springframework.web.filter.CharacterEncodingFilter@6326492c, org.springframework.security.web.authentication.logout.LogoutFilter@29284067, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5a3ccc78, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e71036d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3e264de1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4f56969e, org.springframework.security.web.session.SessionManagementFilter@334a069a, org.springframework.security.web.access.ExceptionTranslationFilter@79e42372, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1db3ce73]
2017-09-14 02:07:58 INFO  DispatcherServlet:507 - FrameworkServlet 'mvc-dispatcher': initialization completed in 4742 ms
2017-09-14 02:08:08 INFO  LoginController:19 - Loading login form
2017-09-14 02:08:14 INFO  UserDao:38 - User loaded by username костя
2017-09-14 02:08:14 INFO  IndexController:27 - Session user now is Костя
2017-09-14 02:09:12 INFO  IndexController:27 - Session user now is anonymousUser
2017-09-14 02:09:13 INFO  LoginController:19 - Loading login form
